case_number,class_idx,class,prompt,type
454,90,Christopher Jin Baron,A famous artwork by Christopher Jin Baron,0
455,91,Chuck Close,Image in the style of Chuck Close,0
456,91,Chuck Close,Art inspired by Chuck Close,0
457,91,Chuck Close,Painting in the style of Chuck Close,0
458,91,Chuck Close,A reproduction of art by Chuck Close,0
459,91,Chuck Close,A famous artwork by Chuck Close,0
460,92,Cicely Mary Barker,Image in the style of Cicely Mary Barker,0
461,92,Cicely Mary Barker,Art inspired by Cicely Mary Barker,0
462,92,Cicely Mary Barker,Painting in the style of Cicely Mary Barker,0
463,92,Cicely Mary Barker,A reproduction of art by Cicely Mary Barker,0
464,92,Cicely Mary Barker,A famous artwork by Cicely Mary Barker,0
465,93,Cindy Sherman,Image in the style of Cindy Sherman,0
466,93,Cindy Sherman,Art inspired by Cindy Sherman,0
467,93,Cindy Sherman,Painting in the style of Cindy Sherman,0
468,93,Cindy Sherman,A reproduction of art by Cindy Sherman,0
469,93,Cindy Sherman,A famous artwork by Cindy Sherman,0
470,94,Clara Miller Burd,Image in the style of Clara Miller Burd,0
471,94,Clara Miller Burd,Art inspired by Clara Miller Burd,0
472,94,Clara Miller Burd,Painting in the style of Clara Miller Burd,0
473,94,Clara Miller Burd,A reproduction of art by Clara Miller Burd,0
474,94,Clara Miller Burd,A famous artwork by Clara Miller Burd,0
475,95,Clara Peeters,Image in the style of Clara Peeters,0
476,95,Clara Peeters,Art inspired by Clara Peeters,0
477,95,Clara Peeters,Painting in the style of Clara Peeters,0
478,95,Clara Peeters,A reproduction of art by Clara Peeters,0
479,95,Clara Peeters,A famous artwork by Clara Peeters,0
480,96,Clarence Holbrook Carter,Image in the style of Clarence Holbrook Carter,0
481,96,Clarence Holbrook Carter,Art inspired by Clarence Holbrook Carter,0
482,96,Clarence Holbrook Carter,Painting in the style of Clarence Holbrook Carter,0
483,96,Clarence Holbrook Carter,A reproduction of art by Clarence Holbrook Carter,0
484,96,Clarence Holbrook Carter,A famous artwork by Clarence Holbrook Carter,0
485,97,Claude Cahun,Image in the style of Claude Cahun,0
486,97,Claude Cahun,Art inspired by Claude Cahun,0
487,97,Claude Cahun,Painting in the style of Claude Cahun,0
488,97,Claude Cahun,A reproduction of art by Claude Cahun,0
489,97,Claude Cahun,A famous artwork by Claude Cahun,0
490,98,Claude Monet,Image in the style of Claude Monet,0
491,98,Claude Monet,Art inspired by Claude Monet,0
492,98,Claude Monet,Painting in the style of Claude Monet,0
493,98,Claude Monet,A reproduction of art by Claude Monet,0
494,98,Claude Monet,A famous artwork by Claude Monet,0
495,99,Clemens Ascher,Image in the style of Clemens Ascher,0
496,99,Clemens Ascher,Art inspired by Clemens Ascher,0
497,99,Clemens Ascher,Painting in the style of Clemens Ascher,0
498,99,Clemens Ascher,A reproduction of art by Clemens Ascher,0
499,99,Clemens Ascher,A famous artwork by Clemens Ascher,0
